Color,Rmin,Rmax,Gmin,Gmax,Bmin,Bmax,rMin,rMax,gMin,gMax,bMin,bMax
Gray2Brown2,243,246,208,212,172,178,0.384,0.393,0.332,0.335,0.275,0.281
Gray3Brown3,235,237,198,200,164,168,0.392,0.394,0.331,0.332,0.275,0.278
Gray12Brown1,186,190,169,171,156,159,0.361,0.368,0.329,0.33,0.304,0.309
Gray17Brown1,133,140,112,117,98,107,0.383,0.388,0.321,0.327,0.286,0.294
Gray17Brown1,120,125,105,110,93,97,0.373,0.379,0.327,0.33,0.292,0.297
Gray13Brown1,177,183,151,154,146,149,0.373,0.377,0.317,0.319,0.307,0.308
Gray15Brown1,154,158,129,132,105,110,0.394,0.398,0.329,0.333,0.27,0.276
Gray14Brown1,171,174,147,149,128,132,0.38,0.385,0.327,0.33,0.285,0.292
Gray7Brown10,141,145,102,107,81,86,0.429,0.435,0.313,0.317,0.25,0.256
Gray7Brown9,155,157,109,117,85,92,0.429,0.444,0.311,0.32,0.244,0.251
Gray14Brown1,161,163,142,144,128,130,0.373,0.374,0.329,0.33,0.297,0.297
Gray13Brown1,181,186,159,162,145,149,0.373,0.376,0.326,0.329,0.297,0.3
Gray16Brown2,133,135,103,106,91,94,0.402,0.407,0.315,0.318,0.278,0.281
Gray8Brown11,114,117,87,92,75,79,0.406,0.413,0.315,0.319,0.271,0.274
Gray16Brown3,115,120,90,96,78,83,0.401,0.406,0.317,0.321,0.276,0.278
Gray7Brown12,111,116,89,92,66,68,0.414,0.422,0.332,0.335,0.244,0.254
Gray7Brown11,118,122,97,99,72,76,0.405,0.419,0.333,0.334,0.247,0.261
Gray6Brown11,125,130,90,93,60,64,0.453,0.455,0.324,0.327,0.218,0.223
Gray6Brown11,135,137,96,100,66,70,0.446,0.456,0.322,0.327,0.221,0.228
Gray15Brown2,146,151,118,123,104,110,0.393,0.397,0.32,0.323,0.282,0.286
Gray13Brown2,164,169,135,141,123,129,0.385,0.389,0.32,0.323,0.291,0.294
Gray7Brown8,156,161,116,121,103,105,0.414,0.42,0.308,0.313,0.269,0.279
Gray7Brown9,159,161,117,120,95,97,0.424,0.432,0.314,0.319,0.255,0.259
Gray8Brown8,154,156,120,121,104,105,0.406,0.408,0.316,0.319,0.274,0.276
Gray7Brown7,173,178,137,142,111,116,0.408,0.411,0.325,0.326,0.264,0.266
Gray7Brown8,160,167,126,131,98,105,0.414,0.417,0.325,0.328,0.255,0.261
Gray7Brown6,184,186,142,144,123,125,0.409,0.41,0.316,0.316,0.274,0.275
Gray6Brown10,150,152,101,103,74,76,0.456,0.465,0.309,0.313,0.226,0.231
Gray3Brown4,231,233,178,180,137,139,0.42,0.425,0.325,0.327,0.25,0.25
Gray4Brown5,217,219,163,165,127,129,0.425,0.43,0.32,0.323,0.25,0.252
Gray4Brown5,222,224,169,171,132,134,0.421,0.427,0.322,0.324,0.251,0.254
Gray13Brown1,170,172,150,152,138,140,0.369,0.374,0.326,0.328,0.3,0.302
Gray13Brown1,173,175,154,156,142,144,0.366,0.372,0.327,0.33,0.301,0.304
Gray7Brown5,196,198,174,176,157,159,0.369,0.374,0.329,0.331,0.297,0.299
Gray7Brown4,199,201,178,180,161,163,0.367,0.372,0.33,0.332,0.298,0.301
Gray7Brown5,197,199,177,179,158,160,0.368,0.373,0.331,0.334,0.296,0.299
Gray15Brown1,151,153,132,134,117,119,0.374,0.381,0.328,0.332,0.291,0.295
Gray6Brown6,192,194,163,165,136,138,0.39,0.391,0.332,0.332,0.277,0.278
Gray7Brown6,186,188,156,158,131,133,0.392,0.393,0.33,0.33,0.277,0.278
Gray6Brown6,191,193,154,156,131,133,0.4,0.401,0.324,0.324,0.275,0.276
Gray6Brown5,195,197,160,162,141,143,0.392,0.393,0.323,0.323,0.284,0.285
Gray7Brown8,162,169,119,125,105,113,0.418,0.42,0.301,0.312,0.271,0.28
Gray12Brown1,182,184,161,163,154,156,0.366,0.366,0.324,0.324,0.31,0.31
Gray12Brown1Pink1,182,184,157,159,150,152,0.372,0.372,0.321,0.321,0.307,0.307
Gray5Brown2Pink2,215,221,178,183,159,165,0.388,0.394,0.321,0.322,0.285,0.29
Gray7Brown7Pink2,153,158,106,110,88,93,0.431,0.444,0.305,0.308,0.25,0.261
Gray4Brown3Pink2,223,224,153,156,125,129,0.44,0.445,0.304,0.306,0.25,0.253
Gray2Brown2Pink2,236,238,168,170,143,145,0.43,0.431,0.307,0.307,0.261,0.262
